Facility ID,Hospital Name,Indicator Name,Year,Infections Observed,Infections Predicted,Denominator,Indicator Value,Indicator Lower Confidence Limit,Indicator Upper Confidence Limit,Indicator Units,Comparison Results,Location 1
989,HealthAlliance Hospital Mary's Avenue Campus,CDI Possibly-My-Hospital Associated,2016,0,,"9,531",0,,,"# possibly-my-hospital cases per 10,000 patient days, not risk-adjusted",Not compared,"(41.922234, -73.999188)"
989,HealthAlliance Hospital Mary's Avenue Campus,CDI Hospital Onset,2016,1,1.96,"9,531",3.31,0.02,24.6,"# hospital onset cases per 10,000 patient days, risk-adjusted",Not significantly different than NYS 2016 average,"(41.922234, -73.999188)"
989,HealthAlliance Hospital Mary's Avenue Campus,CDI Community Onset Not-My-Hospital,2016,0,,"1,937",0,,,"# community onset not-my-hospital cases per 100 admissions, not risk-adjusted",Not compared,"(41.922234, -73.999188)"
990,HealthAlliance Hospital Broadway Campus,SSI Overall Standardized Infection Ratio,2016,0,2.98,,0,0,1.01,,Not significantly different than NYS 2016 average,"(41.926429, -73.995462)"
990,HealthAlliance Hospital Broadway Campus,SSI Hysterectomy,2016,,,,,,,"# SSI per 100 procedures, risk-adjusted","Not compared, less than 20 procedures","(41.926429, -73.995462)"
990,HealthAlliance Hospital Broadway Campus,SSI Hip,2016,0,0.29,32,0,0,7.96,"# SSI per 100 procedures, risk-adjusted",Not significantly different than NYS 2016 average,"(41.926429, -73.995462)"
990,HealthAlliance Hospital Broadway Campus,SSI Colon,2016,0,2.63,52,0,0,5.64,"# SSI per 100 procedures, risk-adjusted",Not significantly different than NYS 2016 average,"(41.926429, -73.995462)"
0,New York State - All Hospitals,CLABSI Surgical ICU,2010,121,,"80,350",1.51,,,# CLABSI per 1000 line days,,
990,HealthAlliance Hospital Broadway Campus,CRE Hospital Onset Infection Rate- Bloodstream Infections,2016,0,,"32,866",0,,,"# hospital onset blood stream CRE infections per 10,000 patient days",Not compared,"(41.926429, -73.995462)"
990,HealthAlliance Hospital Broadway Campus,CRE Hospital Onset Infection Rate- all body sites,2016,1,,"32,866",0.3,,,"# hospital onset CRE infections per 10,000 patient days",Not compared,"(41.926429, -73.995462)"
990,HealthAlliance Hospital Broadway Campus,CRE Admission Prevalence Rate- Bloodstream Infections,2016,3,,"7,450",0.4,,,"# admission prevalent CRE BSIs per 1,000 admissions",Not compared,"(41.926429, -73.995462)"
990,HealthAlliance Hospital Broadway Campus,CRE Admission Prevalence Rate- all body sites,2016,17,,"7,450",2.28,,,"# admission prevalent CRE infections per 1,000 admissions",Not compared,"(41.926429, -73.995462)"
990,HealthAlliance Hospital Broadway Campus,CLABSI Surgical Ward,2016,0,0.38,482,0,0,6.22,# CLABSI per 1000 line days,Not significantly different than NYS 2016 average,"(41.926429, -73.995462)"
990,HealthAlliance Hospital Broadway Campus,CLABSI Overall Standardized Infection Ratio,2016,0,5.23,,0,0,0.57,,Significantly lower than NYS 2016 average,"(41.926429, -73.995462)"
990,HealthAlliance Hospital Broadway Campus,CLABSI Medical Ward,2016,0,3.13,"2,753",0,0,1.09,# CLABSI per 1000 line days,Significantly lower than NYS 2016 average,"(41.926429, -73.995462)"
990,HealthAlliance Hospital Broadway Campus,CLABSI Medical Surgical Ward,2016,0,0.75,718,0,0,4.17,# CLABSI per 1000 line days,Not significantly different than NYS 2016 average,"(41.926429, -73.995462)"
990,HealthAlliance Hospital Broadway Campus,CLABSI Medical Surgical ICU,2016,0,0.98,"1,204",0,0,2.49,# CLABSI per 1000 line days,Not significantly different than NYS 2016 average,"(41.926429, -73.995462)"
990,HealthAlliance Hospital Broadway Campus,CDI Possibly-My-Hospital Associated,2016,7,,"32,866",2.13,,,"# possibly-my-hospital cases per 10,000 patient days, not risk-adjusted",Not compared,"(41.926429, -73.995462)"
990,HealthAlliance Hospital Broadway Campus,CDI Hospital Onset,2016,21,12.64,"32,866",10.76,5.67,18.42,"# hospital onset cases per 10,000 patient days, risk-adjusted",Not significantly different than NYS 2016 average,"(41.926429, -73.995462)"
990,HealthAlliance Hospital Broadway Campus,CDI Community Onset Not-My-Hospital,2016,33,,"7,450",0.44,,,"# community onset not-my-hospital cases per 100 admissions, not risk-adjusted",Not compared,"(41.926429, -73.995462)"
1005,Glens Falls Hospital,SSI Overall Standardized Infection Ratio,2016,4,7.55,,0.53,0.14,1.36,,Not significantly different than NYS 2016 average,"(43.307292, -73.646082)"
1005,Glens Falls Hospital,SSI Hysterectomy,2016,0,0.73,107,0,0,4.63,"# SSI per 100 procedures, risk-adjusted",Not significantly different than NYS 2016 average,"(43.307292, -73.646082)"
1005,Glens Falls Hospital,SSI Hip,2016,1,1.28,166,0.6,0.02,3.36,"# SSI per 100 procedures, risk-adjusted",Not significantly different than NYS 2016 average,"(43.307292, -73.646082)"
1005,Glens Falls Hospital,SSI Colon,2016,3,5.54,184,2.68,0.55,7.84,"# SSI per 100 procedures, risk-adjusted",Not significantly different than NYS 2016 average,"(43.307292, -73.646082)"
1005,Glens Falls Hospital,CRE Hospital Onset Infection Rate- Bloodstream Infections,2016,0,,"60,658",0,,,"# hospital onset blood stream CRE infections per 10,000 patient days",Not compared,"(43.307292, -73.646082)"
1005,Glens Falls Hospital,CRE Hospital Onset Infection Rate- all body sites,2016,0,,"60,658",0,,,"# hospital onset CRE infections per 10,000 patient days",Not compared,"(43.307292, -73.646082)"
1005,Glens Falls Hospital,CRE Admission Prevalence Rate- Bloodstream Infections,2016,0,,"13,700",0,,,"# admission prevalent CRE BSIs per 1,000 admissions",Not compared,"(43.307292, -73.646082)"
1005,Glens Falls Hospital,CRE Admission Prevalence Rate- all body sites,2016,3,,"13,700",0.22,,,"# admission prevalent CRE infections per 1,000 admissions",Not compared,"(43.307292, -73.646082)"
1005,Glens Falls Hospital,CLABSI Surgical Ward,2016,0,0.71,916,0,0,3.27,# CLABSI per 1000 line days,Not significantly different than NYS 2016 average,"(43.307292, -73.646082)"
1005,Glens Falls Hospital,CLABSI Pediatric Ward,2016,,,,,,,# CLABSI per 1000 line days,"Not compared, less than 50 central line days","(43.307292, -73.646082)"
1005,Glens Falls Hospital,CLABSI Overall Standardized Infection Ratio,2016,3,6.13,,0.49,0.1,1.43,,Not significantly different than NYS 2016 average,"(43.307292, -73.646082)"
1005,Glens Falls Hospital,CLABSI Medical Ward,2016,2,2.47,"2,169",0.92,0.11,3.33,# CLABSI per 1000 line days,Not significantly different than NYS 2016 average,"(43.307292, -73.646082)"
1005,Glens Falls Hospital,CLABSI Medical Surgical Ward,2016,1,1.23,"1,181",0.85,0.02,4.72,# CLABSI per 1000 line days,Not significantly different than NYS 2016 average,"(43.307292, -73.646082)"
1005,Glens Falls Hospital,CLABSI Medical Surgical ICU,2016,0,1.25,"1,531",0,0,1.96,# CLABSI per 1000 line days,Not significantly different than NYS 2016 average,"(43.307292, -73.646082)"
1005,Glens Falls Hospital,CLABSI Coronary ICU,2016,0,0.45,295,0,0,10.16,# CLABSI per 1000 line days,Not significantly different than NYS 2016 average,"(43.307292, -73.646082)"
1005,Glens Falls Hospital,CDI Possibly-My-Hospital Associated,2016,14,,"57,626",2.43,,,"# possibly-my-hospital cases per 10,000 patient days, not risk-adjusted",Not compared,"(43.307292, -73.646082)"
1005,Glens Falls Hospital,CDI Hospital Onset,2016,35,47.74,"57,626",4.75,2.94,7.23,"# hospital onset cases per 10,000 patient days, risk-adjusted",Not significantly different than NYS 2016 average,"(43.307292, -73.646082)"
1005,Glens Falls Hospital,CDI Community Onset Not-My-Hospital,2016,84,,"12,462",0.67,,,"# community onset not-my-hospital cases per 100 admissions, not risk-adjusted",Not compared,"(43.307292, -73.646082)"
1028,Newark-Wayne Community Hospital,SSI Overall Standardized Infection Ratio,2016,4,2.46,,1.62,0.44,4.16,,Not significantly different than NYS 2016 average,"(43.05727, -77.09767)"
1028,Newark-Wayne Community Hospital,SSI Hysterectomy,2016,1,0.6,88,1.86,0.05,10.37,"# SSI per 100 procedures, risk-adjusted",Not significantly different than NYS 2016 average,"(43.05727, -77.09767)"
1028,Newark-Wayne Community Hospital,SSI Hip,2016,3,0.52,75,4.43,0.91,12.96,"# SSI per 100 procedures, risk-adjusted",Significantly higher than NYS 2016 average,"(43.05727, -77.09767)"
1028,Newark-Wayne Community Hospital,SSI Colon,2016,0,1.34,36,0,0,11.12,"# SSI per 100 procedures, risk-adjusted",Not significantly different than NYS 2016 average,"(43.05727, -77.09767)"
1028,Newark-Wayne Community Hospital,CRE Hospital Onset Infection Rate- Bloodstream Infections,2016,0,,"22,117",0,,,"# hospital onset blood stream CRE infections per 10,000 patient days",Not compared,"(43.05727, -77.09767)"
1028,Newark-Wayne Community Hospital,CRE Hospital Onset Infection Rate- all body sites,2016,0,,"22,117",0,,,"# hospital onset CRE infections per 10,000 patient days",Not compared,"(43.05727, -77.09767)"
1028,Newark-Wayne Community Hospital,CRE Admission Prevalence Rate- Bloodstream Infections,2016,0,,"5,395",0,,,"# admission prevalent CRE BSIs per 1,000 admissions",Not compared,"(43.05727, -77.09767)"
1028,Newark-Wayne Community Hospital,CRE Admission Prevalence Rate- all body sites,2016,6,,"5,395",1.11,,,"# admission prevalent CRE infections per 1,000 admissions",Not compared,"(43.05727, -77.09767)"
1028,Newark-Wayne Community Hospital,CLABSI Overall Standardized Infection Ratio,2016,1,2.38,,0.42,0.01,2.34,,Not significantly different than NYS 2016 average,"(43.05727, -77.09767)"
1028,Newark-Wayne Community Hospital,CLABSI Medical Ward,2016,1,1.42,"1,247",0.8,0.02,4.47,# CLABSI per 1000 line days,Not significantly different than NYS 2016 average,"(43.05727, -77.09767)"
1028,Newark-Wayne Community Hospital,CLABSI Medical ICU,2016,0,0.96,"1,041",0,0,2.88,# CLABSI per 1000 line days,Not significantly different than NYS 2016 average,"(43.05727, -77.09767)"
1028,Newark-Wayne Community Hospital,CDI Possibly-My-Hospital Associated,2016,8,,"20,744",3.86,,,"# possibly-my-hospital cases per 10,000 patient days, not risk-adjusted",Not compared,"(43.05727, -77.09767)"
1028,Newark-Wayne Community Hospital,CDI Hospital Onset,2016,14,21.26,"20,744",4.26,1.9,8.17,"# hospital onset cases per 10,000 patient days, risk-adjusted",Not significantly different than NYS 2016 average,"(43.05727, -77.09767)"
1028,Newark-Wayne Community Hospital,CDI Community Onset Not-My-Hospital,2016,37,,"4,718",0.78,,,"# community onset not-my-hospital cases per 100 admissions, not risk-adjusted",Not compared,"(43.05727, -77.09767)"
1039,NewYork-Presbyterian/Hudson Valley Hospital,SSI Overall Standardized Infection Ratio,2016,3,3.96,,0.76,0.16,2.22,,Not significantly different than NYS 2016 average,"(41.291502, -73.893347)"
1039,NewYork-Presbyterian/Hudson Valley Hospital,SSI Hysterectomy,2016,,,,,,,"# SSI per 100 procedures, risk-adjusted","Not compared, less than 20 procedures","(41.291502, -73.893347)"
1039,NewYork-Presbyterian/Hudson Valley Hospital,SSI Hip,2016,0,1.48,166,0,0,1.57,"# SSI per 100 procedures, risk-adjusted",Not significantly different than NYS 2016 average,"(41.291502, -73.893347)"
1039,NewYork-Presbyterian/Hudson Valley Hospital,SSI Colon,2016,3,2.33,52,6.4,1.32,18.69,"# SSI per 100 procedures, risk-adjusted",Not significantly different than NYS 2016 average,"(41.291502, -73.893347)"
1039,NewYork-Presbyterian/Hudson Valley Hospital,CRE Hospital Onset Infection Rate- Bloodstream Infections,2016,1,,"35,468",0.28,,,"# hospital onset blood stream CRE infections per 10,000 patient days",Not compared,"(41.291502, -73.893347)"
1039,NewYork-Presbyterian/Hudson Valley Hospital,CRE Hospital Onset Infection Rate- all body sites,2016,1,,"35,468",0.28,,,"# hospital onset CRE infections per 10,000 patient days",Not compared,"(41.291502, -73.893347)"
1039,NewYork-Presbyterian/Hudson Valley Hospital,CRE Admission Prevalence Rate- Bloodstream Infections,2016,4,,"8,820",0.45,,,"# admission prevalent CRE BSIs per 1,000 admissions",Not compared,"(41.291502, -73.893347)"
0,New York State - All Hospitals,CLABSI Pediatric ICU,2010,62,,"30,001",2.07,,,# CLABSI per 1000 line days,,
1039,NewYork-Presbyterian/Hudson Valley Hospital,CRE Admission Prevalence Rate- all body sites,2016,13,,"8,820",1.47,,,"# admission prevalent CRE infections per 1,000 admissions",Not compared,"(41.291502, -73.893347)"
1039,NewYork-Presbyterian/Hudson Valley Hospital,CLABSI Step Down Unit,2016,1,0.43,421,2.38,0.06,13.23,# CLABSI per 1000 line days,Not significantly different than NYS 2016 average,"(41.291502, -73.893347)"
1039,NewYork-Presbyterian/Hudson Valley Hospital,CLABSI Overall Standardized Infection Ratio,2016,2,2.73,,0.73,0.09,2.65,,Not significantly different than NYS 2016 average,"(41.291502, -73.893347)"
1039,NewYork-Presbyterian/Hudson Valley Hospital,CLABSI Neonatal ICU Level 2/3,2016,,,,,,,# CLABSI per 1000 line days,"Not compared, less than 50 central line days","(41.291502, -73.893347)"
1039,NewYork-Presbyterian/Hudson Valley Hospital,CLABSI Medical Surgical Ward,2016,0,1.72,"1,649",0,0,1.82,# CLABSI per 1000 line days,Not significantly different than NYS 2016 average,"(41.291502, -73.893347)"
1039,NewYork-Presbyterian/Hudson Valley Hospital,CLABSI Medical Surgical ICU,2016,1,0.56,689,1.45,0.04,8.09,# CLABSI per 1000 line days,Not significantly different than NYS 2016 average,"(41.291502, -73.893347)"
1039,NewYork-Presbyterian/Hudson Valley Hospital,CDI Possibly-My-Hospital Associated,2016,11,,"33,322",3.3,,,"# possibly-my-hospital cases per 10,000 patient days, not risk-adjusted",Not compared,"(41.291502, -73.893347)"
1039,NewYork-Presbyterian/Hudson Valley Hospital,CDI Hospital Onset,2016,24,30.51,"33,322",5.09,2.81,8.44,"# hospital onset cases per 10,000 patient days, risk-adjusted",Not significantly different than NYS 2016 average,"(41.291502, -73.893347)"
1039,NewYork-Presbyterian/Hudson Valley Hospital,CDI Community Onset Not-My-Hospital,2016,62,,"8,050",0.77,,,"# community onset not-my-hospital cases per 100 admissions, not risk-adjusted",Not compared,"(41.291502, -73.893347)"
1045,White Plains Hospital Center,SSI Overall Standardized Infection Ratio,2016,9,10.83,,0.83,0.38,1.58,,Not significantly different than NYS 2016 average,"(41.026387, -73.769492)"
1045,White Plains Hospital Center,SSI Hysterectomy,2016,3,1.94,319,1.74,0.36,5.08,"# SSI per 100 procedures, risk-adjusted",Not significantly different than NYS 2016 average,"(41.026387, -73.769492)"
1045,White Plains Hospital Center,SSI Hip,2016,0,1.76,197,0,0,1.32,"# SSI per 100 procedures, risk-adjusted",Not significantly different than NYS 2016 average,"(41.026387, -73.769492)"
1045,White Plains Hospital Center,SSI Colon,2016,6,7.14,198,4.17,1.53,9.07,"# SSI per 100 procedures, risk-adjusted",Not significantly different than NYS 2016 average,"(41.026387, -73.769492)"
1045,White Plains Hospital Center,CRE Hospital Onset Infection Rate- Bloodstream Infections,2016,0,,"78,567",0,,,"# hospital onset blood stream CRE infections per 10,000 patient days",Not compared,"(41.026387, -73.769492)"
1045,White Plains Hospital Center,CRE Hospital Onset Infection Rate- all body sites,2016,3,,"78,567",0.38,,,"# hospital onset CRE infections per 10,000 patient days",Not compared,"(41.026387, -73.769492)"
1045,White Plains Hospital Center,CRE Admission Prevalence Rate- Bloodstream Infections,2016,0,,"21,013",0,,,"# admission prevalent CRE BSIs per 1,000 admissions",Not compared,"(41.026387, -73.769492)"
1045,White Plains Hospital Center,CRE Admission Prevalence Rate- all body sites,2016,9,,"21,013",0.43,,,"# admission prevalent CRE infections per 1,000 admissions",Not compared,"(41.026387, -73.769492)"
1045,White Plains Hospital Center,CLABSI Step Down Unit,2016,2,2.37,"2,294",0.87,0.11,3.15,# CLABSI per 1000 line days,Not significantly different than NYS 2016 average,"(41.026387, -73.769492)"
1045,White Plains Hospital Center,CLABSI Overall Standardized Infection Ratio,2016,7,9.05,,0.77,0.31,1.59,,Not significantly different than NYS 2016 average,"(41.026387, -73.769492)"
1045,White Plains Hospital Center,CLABSI Neonatal ICU Level 3,2016,0,0.29,222,0,0,12.58,# CLABSI per 1000 line days,Not significantly different than NYS 2016 average,"(41.026387, -73.769492)"
1045,White Plains Hospital Center,CLABSI Medical Surgical Ward,2016,3,4.55,"4,374",0.69,0.14,2,# CLABSI per 1000 line days,Not significantly different than NYS 2016 average,"(41.026387, -73.769492)"
1045,White Plains Hospital Center,CLABSI Medical Surgical ICU,2016,2,1.84,"2,261",0.88,0.11,3.2,# CLABSI per 1000 line days,Not significantly different than NYS 2016 average,"(41.026387, -73.769492)"
1045,White Plains Hospital Center,CDI Possibly-My-Hospital Associated,2016,15,,"71,038",2.11,,,"# possibly-my-hospital cases per 10,000 patient days, not risk-adjusted",Not compared,"(41.026387, -73.769492)"
1045,White Plains Hospital Center,CDI Hospital Onset,2016,43,37.67,"71,038",7.39,4.81,10.82,"# hospital onset cases per 10,000 patient days, risk-adjusted",Not significantly different than NYS 2016 average,"(41.026387, -73.769492)"
1045,White Plains Hospital Center,CDI Community Onset Not-My-Hospital,2016,70,,"16,175",0.43,,,"# community onset not-my-hospital cases per 100 admissions, not risk-adjusted",Not compared,"(41.026387, -73.769492)"
1061,Montefiore Mount Vernon Hospital,SSI Overall Standardized Infection Ratio,2016,2,1.13,,1.76,0.21,6.37,,Not significantly different than NYS 2016 average,"(40.912461, -73.840002)"
1061,Montefiore Mount Vernon Hospital,SSI Hysterectomy,2016,1,0.32,39,3.55,0.09,19.8,"# SSI per 100 procedures, risk-adjusted",Not significantly different than NYS 2016 average,"(40.912461, -73.840002)"
1061,Montefiore Mount Vernon Hospital,SSI Hip,2016,,,,,,,"# SSI per 100 procedures, risk-adjusted","Not compared, less than 20 procedures","(40.912461, -73.840002)"
1061,Montefiore Mount Vernon Hospital,SSI Colon,2016,,,,,,,"# SSI per 100 procedures, risk-adjusted","Not compared, less than 20 procedures","(40.912461, -73.840002)"
1061,Montefiore Mount Vernon Hospital,CRE Hospital Onset Infection Rate- Bloodstream Infections,2016,0,,"15,587",0,,,"# hospital onset blood stream CRE infections per 10,000 patient days",Not compared,"(40.912461, -73.840002)"
1061,Montefiore Mount Vernon Hospital,CRE Hospital Onset Infection Rate- all body sites,2016,1,,"15,587",0.64,,,"# hospital onset CRE infections per 10,000 patient days",Not compared,"(40.912461, -73.840002)"
1061,Montefiore Mount Vernon Hospital,CRE Admission Prevalence Rate- Bloodstream Infections,2016,1,,"2,865",0.35,,,"# admission prevalent CRE BSIs per 1,000 admissions",Not compared,"(40.912461, -73.840002)"
1061,Montefiore Mount Vernon Hospital,CRE Admission Prevalence Rate- all body sites,2016,3,,"2,865",1.05,,,"# admission prevalent CRE infections per 1,000 admissions",Not compared,"(40.912461, -73.840002)"
1061,Montefiore Mount Vernon Hospital,CLABSI Step Down Unit,2016,1,0.39,374,2.67,0.07,14.9,# CLABSI per 1000 line days,Not significantly different than NYS 2016 average,"(40.912461, -73.840002)"
1061,Montefiore Mount Vernon Hospital,CLABSI Overall Standardized Infection Ratio,2016,4,1.65,,2.42,0.66,6.21,,Not significantly different than NYS 2016 average,"(40.912461, -73.840002)"
1061,Montefiore Mount Vernon Hospital,CLABSI Medical Surgical Ward,2016,2,0.8,767,2.61,0.32,9.42,# CLABSI per 1000 line days,Not significantly different than NYS 2016 average,"(40.912461, -73.840002)"
1061,Montefiore Mount Vernon Hospital,CLABSI Medical Surgical ICU,2016,1,0.46,571,1.75,0.04,9.76,# CLABSI per 1000 line days,Not significantly different than NYS 2016 average,"(40.912461, -73.840002)"
1061,Montefiore Mount Vernon Hospital,CDI Possibly-My-Hospital Associated,2016,3,,"15,587",1.92,,,"# possibly-my-hospital cases per 10,000 patient days, not risk-adjusted",Not compared,"(40.912461, -73.840002)"
1061,Montefiore Mount Vernon Hospital,CDI Hospital Onset,2016,17,7.64,"15,587",14.41,6.99,26.1,"# hospital onset cases per 10,000 patient days, risk-adjusted",Significantly higher than NYS 2016 average,"(40.912461, -73.840002)"
1061,Montefiore Mount Vernon Hospital,CDI Community Onset Not-My-Hospital,2016,13,,"2,865",0.45,,,"# community onset not-my-hospital cases per 100 admissions, not risk-adjusted",Not compared,"(40.912461, -73.840002)"
1072,Montefiore New Rochelle Hospital,SSI Overall Standardized Infection Ratio,2016,5,4.32,,1.16,0.38,2.7,,Not significantly different than NYS 2016 average,"(40.913007, -73.787083)"
1072,Montefiore New Rochelle Hospital,SSI Hysterectomy,2016,2,0.53,60,4.23,0.51,15.28,"# SSI per 100 procedures, risk-adjusted",Not significantly different than NYS 2016 average,"(40.913007, -73.787083)"
1072,Montefiore New Rochelle Hospital,SSI Hip,2016,0,1.03,150,0,0,2.25,"# SSI per 100 procedures, risk-adjusted",Not significantly different than NYS 2016 average,"(40.913007, -73.787083)"
1072,Montefiore New Rochelle Hospital,SSI Colon,2016,3,2.76,55,5.38,1.11,15.73,"# SSI per 100 procedures, risk-adjusted",Not significantly different than NYS 2016 average,"(40.913007, -73.787083)"
1072,Montefiore New Rochelle Hospital,CRE Hospital Onset Infection Rate- Bloodstream Infections,2016,1,,"34,196",0.29,,,"# hospital onset blood stream CRE infections per 10,000 patient days",Not compared,"(40.913007, -73.787083)"
1072,Montefiore New Rochelle Hospital,CRE Hospital Onset Infection Rate- all body sites,2016,3,,"34,196",0.88,,,"# hospital onset CRE infections per 10,000 patient days",Not compared,"(40.913007, -73.787083)"
1072,Montefiore New Rochelle Hospital,CRE Admission Prevalence Rate- Bloodstream Infections,2016,1,,"7,770",0.13,,,"# admission prevalent CRE BSIs per 1,000 admissions",Not compared,"(40.913007, -73.787083)"
1072,Montefiore New Rochelle Hospital,CRE Admission Prevalence Rate- all body sites,2016,9,,"7,770",1.16,,,"# admission prevalent CRE infections per 1,000 admissions",Not compared,"(40.913007, -73.787083)"
1072,Montefiore New Rochelle Hospital,CLABSI Surgical Ward,2016,1,0.2,256,3.91,0.1,21.76,# CLABSI per 1000 line days,Not significantly different than NYS 2016 average,"(40.913007, -73.787083)"
1072,Montefiore New Rochelle Hospital,CLABSI Step Down Unit,2016,3,0.72,693,4.33,0.89,12.65,# CLABSI per 1000 line days,Not significantly different than NYS 2016 average,"(40.913007, -73.787083)"
1124,SJRH - Dobbs Ferry Pavillion,CLABSI Overall Standardized Infection Ratio,2016,0,0.05,,0,0,56.42,,Not significantly different than NYS 2016 average,"(41.014721, -73.862259)"
1072,Montefiore New Rochelle Hospital,CLABSI Overall Standardized Infection Ratio,2016,6,2.61,,2.3,0.84,5.01,,Not significantly different than NYS 2016 average,"(40.913007, -73.787083)"
1072,Montefiore New Rochelle Hospital,CLABSI Neonatal ICU Level 3,2016,,,,,,,# CLABSI per 1000 line days,"Not compared, less than 50 central line days","(40.913007, -73.787083)"
1072,Montefiore New Rochelle Hospital,CLABSI Medical Surgical Ward,2016,2,0.72,695,2.88,0.35,10.4,# CLABSI per 1000 line days,Not significantly different than NYS 2016 average,"(40.913007, -73.787083)"
1072,Montefiore New Rochelle Hospital,CLABSI Medical Surgical ICU,2016,0,0.96,"1,182",0,0,2.53,# CLABSI per 1000 line days,Not significantly different than NYS 2016 average,"(40.913007, -73.787083)"
1072,Montefiore New Rochelle Hospital,CDI Possibly-My-Hospital Associated,2016,3,,"31,255",0.96,,,"# possibly-my-hospital cases per 10,000 patient days, not risk-adjusted",Not compared,"(40.913007, -73.787083)"
1072,Montefiore New Rochelle Hospital,CDI Hospital Onset,2016,20,18.35,"31,255",7.06,3.65,12.24,"# hospital onset cases per 10,000 patient days, risk-adjusted",Not significantly different than NYS 2016 average,"(40.913007, -73.787083)"
1072,Montefiore New Rochelle Hospital,CDI Community Onset Not-My-Hospital,2016,28,,"6,691",0.42,,,"# community onset not-my-hospital cases per 100 admissions, not risk-adjusted",Not compared,"(40.913007, -73.787083)"
1097,SJRH - St Johns Division,SSI Overall Standardized Infection Ratio,2016,7,3.05,,2.29,0.92,4.72,,Not significantly different than NYS 2016 average,"(40.968345, -73.884978)"
1097,SJRH - St Johns Division,SSI Hysterectomy,2016,1,0.67,74,1.69,0.04,9.39,"# SSI per 100 procedures, risk-adjusted",Not significantly different than NYS 2016 average,"(40.968345, -73.884978)"
1097,SJRH - St Johns Division,SSI Hip,2016,0,0.28,30,0,0,8.25,"# SSI per 100 procedures, risk-adjusted",Not significantly different than NYS 2016 average,"(40.968345, -73.884978)"
1097,SJRH - St Johns Division,SSI Colon,2016,6,2.11,50,14.12,5.18,30.74,"# SSI per 100 procedures, risk-adjusted",Significantly higher than NYS 2016 average,"(40.968345, -73.884978)"
1097,SJRH - St Johns Division,CRE Hospital Onset Infection Rate- Bloodstream Infections,2016,0,,"49,405",0,,,"# hospital onset blood stream CRE infections per 10,000 patient days",Not compared,"(40.968345, -73.884978)"
1097,SJRH - St Johns Division,CRE Hospital Onset Infection Rate- all body sites,2016,2,,"49,405",0.4,,,"# hospital onset CRE infections per 10,000 patient days",Not compared,"(40.968345, -73.884978)"
1097,SJRH - St Johns Division,CRE Admission Prevalence Rate- Bloodstream Infections,2016,1,,"11,670",0.09,,,"# admission prevalent CRE BSIs per 1,000 admissions",Not compared,"(40.968345, -73.884978)"
1097,SJRH - St Johns Division,CRE Admission Prevalence Rate- all body sites,2016,22,,"11,670",1.89,,,"# admission prevalent CRE infections per 1,000 admissions",Not compared,"(40.968345, -73.884978)"
1097,SJRH - St Johns Division,CLABSI Overall Standardized Infection Ratio,2016,2,3.27,,0.61,0.07,2.21,,Not significantly different than NYS 2016 average,"(40.968345, -73.884978)"
1097,SJRH - St Johns Division,CLABSI Medical Ward,2016,1,1.66,"1,458",0.69,0.02,3.82,# CLABSI per 1000 line days,Not significantly different than NYS 2016 average,"(40.968345, -73.884978)"
1097,SJRH - St Johns Division,CLABSI Medical Surgical Ward,2016,1,0.75,718,1.39,0.04,7.76,# CLABSI per 1000 line days,Not significantly different than NYS 2016 average,"(40.968345, -73.884978)"
1097,SJRH - St Johns Division,CLABSI Medical Surgical ICU,2016,0,0.86,"1,061",0,0,2.82,# CLABSI per 1000 line days,Not significantly different than NYS 2016 average,"(40.968345, -73.884978)"
1097,SJRH - St Johns Division,CDI Possibly-My-Hospital Associated,2016,12,,"45,493",2.64,,,"# possibly-my-hospital cases per 10,000 patient days, not risk-adjusted",Not compared,"(40.968345, -73.884978)"
1097,SJRH - St Johns Division,CDI Hospital Onset,2016,21,12.87,"45,493",10.56,5.57,18.08,"# hospital onset cases per 10,000 patient days, risk-adjusted",Not significantly different than NYS 2016 average,"(40.968345, -73.884978)"
1097,SJRH - St Johns Division,CDI Community Onset Not-My-Hospital,2016,14,,"10,451",0.13,,,"# community onset not-my-hospital cases per 100 admissions, not risk-adjusted",Not compared,"(40.968345, -73.884978)"
1098,St Joseph's Medical Center,SSI Overall Standardized Infection Ratio,2016,1,1.55,,0.64,0.02,3.59,,Not significantly different than NYS 2016 average,"(40.928952, -73.896536)"
1098,St Joseph's Medical Center,SSI Hysterectomy,2016,,,,,,,"# SSI per 100 procedures, risk-adjusted","Not compared, less than 20 procedures","(40.928952, -73.896536)"
1098,St Joseph's Medical Center,SSI Hip,2016,0,0.37,31,0,0,6.3,"# SSI per 100 procedures, risk-adjusted",Not significantly different than NYS 2016 average,"(40.928952, -73.896536)"
1098,St Joseph's Medical Center,SSI Colon,2016,,,,,,,"# SSI per 100 procedures, risk-adjusted","Not compared, less than 20 procedures","(40.928952, -73.896536)"
1098,St Joseph's Medical Center,CRE Hospital Onset Infection Rate- Bloodstream Infections,2016,0,,"18,573",0,,,"# hospital onset blood stream CRE infections per 10,000 patient days",Not compared,"(40.928952, -73.896536)"
1098,St Joseph's Medical Center,CRE Hospital Onset Infection Rate- all body sites,2016,2,,"18,573",1.08,,,"# hospital onset CRE infections per 10,000 patient days",Not compared,"(40.928952, -73.896536)"
